policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported,claim_to_premium_ratio,high_claim_flag,night_incident,many_vehicles,no_police_report
2,400,1430.78,74,2,1,4,5,1,0,2,1,4,1470,6,1,4,0,1,8161.36,11677.6,1,8.156001620360671,0,0,0,0
8,300,854.49,74,1,0,3,1,3,1,2,1,7,5579,0,3,4,5,0,18561.79,18027.81,0,21.07308092438252,0,1,1,1
4,400,1247.28,28,2,3,1,5,1,3,2,2,4,13241,14,4,4,1,0,10734.61,10375.59,0,8.311909187041369,0,0,1,1
0,600,622.42,37,1,3,6,6,1,1,2,2,5,5562,22,3,3,5,0,13188.92,14204.34,0,22.784543325526933,0,1,1,1
4,700,1458.17,31,2,3,5,5,2,2,1,1,6,1168,18,4,2,4,0,21864.69,24038.84,0,16.474324444718572,1,0,1,1
8,700,1015.6,32,1,0,4,0,1,3,0,0,1,734,20,2,4,5,0,12483.84,11780.94,0,11.588569742278182,0,1,0,1
8,300,1254.39,30,2,1,1,5,0,1,0,0,8,7893,16,4,0,3,1,16687.4,19045.75,0,15.171181863803278,1,0,1,0
4,700,1288.08,29,0,3,3,5,1,1,0,2,4,11015,5,1,3,5,0,7111.4,8272.63,0,6.417468271945884,0,1,0,1
5,500,942.22,61,0,0,0,6,1,3,2,0,5,5338,22,1,4,5,1,1603.74,2549.55,0,2.7030279256165053,0,1,0,0
2,700,1277.15,19,2,1,1,1,3,3,0,0,1,9890,17,3,3,0,0,18778.37,15959.84,0,12.486672143332159,0,0,1,1
1,700,839.16,46,2,3,5,4,2,0,2,1,3,9863,6,4,3,3,0,17022.79,22383.95,0,26.642484764806706,1,0,1,1
4,400,886.71,41,2,0,7,4,3,2,2,2,0,12974,4,4,4,5,1,935.88,936.22,0,1.0546462245553165,0,1,1,0
5,300,626.23,33,0,2,1,1,0,0,1,1,9,1035,3,1,0,3,0,9042.2,17788.89,0,28.361031838400585,0,1,0,1
1,300,1288.93,59,0,0,0,3,2,3,0,0,7,776,23,4,1,5,1,21442.46,24667.55,0,19.123169474312558,1,1,1,0
1,700,1202.23,45,0,3,3,2,0,2,2,1,5,8219,12,3,2,1,0,2671.49,3132.11,0,2.6030850294623638,0,0,1,1
